x,z
79.4,-145.6
91.5,-124.5
107.57894736842105,-108.10526315789474
129.0,-97.5
152.0,-91.0
175.0,-85.5
196.42105263157896,-77.10526315789474
215.9090909090909,-64.04545454545455
229.6,-45.4
238.0,-23.5
